CustomerID,AccountID,Market,Region,Segment,ContractType,CurrentPlan,DeviceCategory,TenureMonths
CUST-000001,ACC-000001,EU,Italy,Consumer,Postpaid-Monthly,Standard,Smartphone-Budget,38
CUST-000002,ACC-000002,MEA,UAE,Consumer,Prepaid,Standard,Feature Phone,67
CUST-000003,ACC-000003,NA,Canada-West,Consumer,Prepaid,Basic,Feature Phone,15
CUST-000004,ACC-000004,NA,Canada-East,Consumer,Prepaid,Basic,Smartphone-Budget,39
CUST-000005,ACC-000005,APAC,South Korea,Enterprise,Prepaid,Premium,Smartphone-Mid,30
CUST-000006,ACC-000006,APAC,Australia,Consumer,Postpaid-Annual,Unlimited,Smartphone-Budget,38
CUST-000007,ACC-000007,APAC,South Korea,Enterprise,Prepaid,Premium,Smartphone-Mid,16
CUST-000008,ACC-000008,LATAM,Brazil,Enterprise,Postpaid-Monthly,Standard,Smartphone-Mid,56
CUST-000009,ACC-000009,NA,Canada-East,Consumer,Postpaid-Monthly,Enterprise-Pro,Smartphone-Mid,35
CUST-000010,ACC-000010,NA,USA-West,Consumer,Postpaid-Monthly,Standard,Tablet,55
CUST-000011,ACC-000011,APAC,Singapore,Consumer,Prepaid,Premium,Smartphone-Budget,10
CUST-000012,ACC-000012,MEA,South Africa,Consumer,Postpaid-Monthly,Standard,IoT/Modem,5
CUST-000013,ACC-000013,LATAM,Colombia,Consumer,Postpaid-Monthly,SMB-Plus,Smartphone-Flagship,54
CUST-000014,ACC-000014,APAC,Japan,Small Business,Prepaid,Basic,Smartphone-Flagship,22
CUST-000015,ACC-000015,APAC,South Korea,Consumer,Postpaid-Monthly,Family,IoT/Modem,34
CUST-000016,ACC-000016,APAC,Australia,Small Business,Postpaid-Annual,Premium,Tablet,39
CUST-000017,ACC-000017,EU,Germany,Consumer,Prepaid,SMB-Plus,Feature Phone,62
CUST-000018,ACC-000018,NA,USA-West,Consumer,Prepaid,Unlimited,IoT/Modem,16
CUST-000019,ACC-000019,EU,Italy,Consumer,Postpaid-Monthly,Unlimited,Smartphone-Flagship,66
CUST-000020,ACC-000020,APAC,Japan,Enterprise,Postpaid-Monthly,Unlimited,Smartphone-Mid,53
CUST-000021,ACC-000021,NA,Canada-West,Consumer,Postpaid-Annual,Unlimited,Feature Phone,7
CUST-000022,ACC-000022,APAC,Japan,Consumer,Postpaid-Monthly,Standard,Tablet,35
CUST-000023,ACC-000023,APAC,South Korea,Consumer,Postpaid-Monthly,Unlimited,Tablet,71
CUST-000024,ACC-000024,EU,France,Consumer,Prepaid,Basic,Smartphone-Mid,15
CUST-000025,ACC-000025,EU,Spain,Consumer,Prepaid,Unlimited,Smartphone-Budget,52
CUST-000026,ACC-000026,LATAM,Chile,Consumer,Prepaid,SMB-Plus,Smartphone-Mid,3
CUST-000027,ACC-000027,APAC,Australia,Consumer,Prepaid,Premium,Smartphone-Mid,29
CUST-000028,ACC-000028,EU,France,Consumer,Prepaid,Family,Smartphone-Mid,1
CUST-000029,ACC-000029,NA,USA-West,Consumer,Prepaid,Enterprise-Pro,Smartphone-Budget,42
CUST-000030,ACC-000030,APAC,Australia,Small Business,Prepaid,Basic,Smartphone-Mid,46
CUST-000031,ACC-000031,NA,USA-East,Consumer,Postpaid-Annual,Standard,Smartphone-Flagship,38
CUST-000032,ACC-000032,APAC,South Korea,Consumer,Postpaid-Monthly,Premium,Smartphone-Mid,42
CUST-000033,ACC-000033,APAC,Singapore,Consumer,Prepaid,Unlimited,Smartphone-Flagship,10
CUST-000034,ACC-000034,MEA,South Africa,Small Business,Prepaid,Unlimited,Smartphone-Mid,48
CUST-000035,ACC-000035,MEA,South Africa,Consumer,Prepaid,Unlimited,Smartphone-Budget,60
CUST-000036,ACC-000036,LATAM,Chile,Enterprise,Prepaid,SMB-Plus,Smartphone-Mid,67
CUST-000037,ACC-000037,EU,France,Consumer,Postpaid-Monthly,SMB-Plus,IoT/Modem,33
CUST-000038,ACC-000038,APAC,South Korea,Consumer,Postpaid-Monthly,Premium,Smartphone-Mid,10
CUST-000039,ACC-000039,NA,USA-East,Consumer,Postpaid-Monthly,Family,Smartphone-Mid,57
CUST-000040,ACC-000040,EU,France,Consumer,Postpaid-Annual,Standard,Smartphone-Mid,55
CUST-000041,ACC-000041,APAC,Singapore,Consumer,Postpaid-Annual,Unlimited,Smartphone-Flagship,5
CUST-000042,ACC-000042,EU,Spain,Small Business,Postpaid-Monthly,SMB-Plus,Smartphone-Mid,40
CUST-000043,ACC-000043,APAC,South Korea,Consumer,Postpaid-Monthly,Premium,Smartphone-Flagship,23
CUST-000044,ACC-000044,MEA,UAE,Consumer,Postpaid-Monthly,Basic,Smartphone-Budget,10
CUST-000045,ACC-000045,APAC,Japan,Consumer,Postpaid-Annual,Premium,Tablet,52
CUST-000046,ACC-000046,NA,Canada-West,Small Business,Prepaid,Standard,IoT/Modem,35
CUST-000047,ACC-000047,EU,UK,Consumer,Prepaid,Premium,Smartphone-Mid,50
CUST-000048,ACC-000048,NA,USA-West,Consumer,Postpaid-Monthly,Premium,Smartphone-Mid,48
CUST-000049,ACC-000049,NA,Canada-East,Consumer,Prepaid,Standard,Feature Phone,26
