TicketID,CustomerID,Market,Region,OpenDate,CloseDate,IssueType,Resolution,Resolved,CSAT
TKT-84XBBVB7,CUST-002919,EU,UK,23-01-2025,29-01-2025,Other,Resolved,Yes,5
TKT-ARR4RON8,CUST-037795,LATAM,Argentina,17-04-2022,19-04-2022,Network,Resolved,Yes,4
TKT-GRTLMIB3,CUST-036871,MEA,South Africa,09-11-2023,16-11-2023,Device,Resolved,Yes,5
TKT-PFVZPRCC,CUST-029758,APAC,South Korea,20-05-2023,10-06-2023,Billing,Resolved,Yes,4
TKT-MLPBV5P3,CUST-009555,NA,Canada-West,12-12-2023,16-12-2023,Roaming,Plan Adjusted,Yes,3
TKT-D3ZOWGY4,CUST-036811,NA,Canada-East,30-12-2024,08-01-2025,Device,Resolved,Yes,5
TKT-DUQFHG1X,CUST-006665,LATAM,Mexico,01-10-2024,26-10-2024,Network,Plan Adjusted,Yes,4
TKT-PBHQTPDR,CUST-019199,NA,USA-West,13-10-2022,29-10-2022,Network,Technician Visit,Yes,3
TKT-O4YTDVJM,CUST-006253,EU,France,28-11-2024,29-11-2024,Other,Technician Visit,Yes,2
TKT-0J5YU12A,CUST-014043,NA,USA-East,03-10-2024,21-10-2024,Billing,Resolved,Yes,3
TKT-B26SSTWE,CUST-038229,LATAM,Brazil,20-12-2023,,Network,No Issue Found,No,1
TKT-32EW1OSD,CUST-018918,LATAM,Chile,22-01-2025,,Value Added Services,Resolved,No,5
TKT-X027SGGL,CUST-012527,APAC,South Korea,08-02-2022,08-03-2022,Billing,Resolved,Yes,3
TKT-ROS73EYI,CUST-001617,MEA,Kenya,25-03-2023,,International,No Issue Found,No,4
TKT-LT0AEROJ,CUST-039230,APAC,South Korea,23-03-2022,05-04-2022,Roaming,No Issue Found,Yes,4
TKT-7GZTNC1J,CUST-002544,NA,USA-West,28-05-2024,,International,Escalated,No,5
TKT-2DBPJCYR,CUST-036493,LATAM,Brazil,18-08-2022,21-08-2022,Plan Change,Resolved,Yes,5
TKT-94YQ9GM8,CUST-036704,APAC,Japan,01-04-2023,12-04-2023,Plan Change,Resolved,Yes,3
TKT-6VOULYMO,CUST-010693,MEA,Saudi Arabia,01-07-2022,09-07-2022,Network,Resolved,Yes,4
TKT-JH1LGI8B,CUST-004789,EU,UK,26-06-2024,,Network,Refund Issued,No,3
TKT-QM5V3167,CUST-027939,NA,Canada-East,23-08-2022,20-09-2022,Device,Resolved,Yes,5
TKT-ANB4XGZG,CUST-020443,APAC,Singapore,25-01-2025,16-02-2025,Plan Change,Resolved,Yes,4
TKT-MV9FKK2W,CUST-035518,MEA,Saudi Arabia,31-03-2024,31-03-2024,Network,Technician Visit,Yes,5
TKT-B7XSF3E5,CUST-014914,NA,Canada-East,04-08-2024,22-08-2024,Plan Change,Resolved,Yes,5
TKT-UUO507I7,CUST-019802,APAC,Singapore,13-11-2024,07-12-2024,Billing,Resolved,Yes,2
TKT-MX169H75,CUST-006577,MEA,Saudi Arabia,12-02-2022,12-02-2022,International,Resolved,Yes,5
TKT-4TD0KTF5,CUST-009862,NA,Canada-East,21-05-2025,23-05-2025,International,Resolved,Yes,4
TKT-I99NGFBT,CUST-033725,APAC,Singapore,19-05-2023,01-06-2023,Plan Change,Plan Adjusted,Yes,5
TKT-FMR9558F,CUST-025814,APAC,Japan,22-07-2022,16-08-2022,Billing,Plan Adjusted,Yes,4
TKT-LSPKZ5BU,CUST-036070,APAC,Australia,13-11-2023,28-11-2023,Plan Change,Resolved,Yes,4
TKT-XNXYAATO,CUST-013557,APAC,South Korea,19-01-2022,,Network,Resolved,No,4
TKT-ZJU4SNQG,CUST-034609,MEA,UAE,26-02-2025,04-03-2025,Network,Plan Adjusted,Yes,3
TKT-FIJ5IHY7,CUST-006037,NA,USA-West,21-12-2022,10-01-2023,Value Added Services,Resolved,Yes,5
TKT-OZWCOG4Z,CUST-000049,NA,Canada-East,10-04-2023,17-04-2023,Device,Resolved,Yes,1
TKT-1UKWETT2,CUST-006210,APAC,South Korea,11-09-2024,25-09-2024,International,Resolved,Yes,4
TKT-MLIPM0Z0,CUST-028320,NA,USA-East,02-12-2024,29-12-2024,Network,Resolved,Yes,3
TKT-942SQZZB,CUST-022307,LATAM,Argentina,07-05-2023,25-05-2023,Billing,Technician Visit,Yes,5
TKT-AN129C9G,CUST-033557,EU,Spain,13-03-2024,15-03-2024,Other,Resolved,Yes,3
